id,title,start_time,created_at,location,google-event-id,duration
2,Test,2024-12-21 03:30:00,2024-12-21 04:03:21.605125+00,,,
3,Lunch with Ai,2024-12-21 12:00:00,2024-12-21 04:03:21.762118+00,,,
4,Crafts Session,2024-12-21 13:00:00,2024-12-21 04:03:21.806618+00,,,
5,Movie,2024-12-22 14:00:00,2024-12-22 13:13:52.815969+00,,,
6,Gym,2024-12-22 16:00:00,2024-12-22 13:13:53.028925+00,,,
7,Movie time,2024-12-22 23:15:00,2024-12-22 23:06:48.631806+00,,,
11,Bouldering with Friends,2024-12-24 08:00:00,2024-12-24 07:34:05.602702+00,,,
12,Meeting with Professor,2024-12-24 13:00:00,2024-12-24 07:34:05.678918+00,,,
13,Work Session,2024-12-24 15:00:00,2024-12-24 07:34:05.721321+00,,,
14,Dinner with Shannan,2024-12-24 19:00:00,2024-12-24 07:34:05.759158+00,,,
39,Work Session,2024-12-24 15:00:00,2024-12-24 17:04:41.05344+00,Unknown,1tg4pof4phpahej0uglhso1bjk,3
40,new test,2024-12-24 18:00:00,2024-12-24 17:04:41.535637+00,Dyson Building,6r1sdgfotdj05hmi70e75elf2a,0.75
41,Dinner with Shannan,2024-12-24 19:00:00,2024-12-24 17:04:42.011454+00,Unknown,11evsth3v5vpgeqg61he0ltbge,2
42,test 2,2024-12-24 21:15:00,2024-12-24 17:11:08.180564+00,Unknown,6mhd6jm58f6tkg4hktv0uib368,0.75
43,Games with Shannan,2024-12-24 22:00:00,2024-12-24 19:53:29.561923+00,Unknown,78p4nto6j2jjdomogqo4fc2p9u,2
44,Travel,2024-12-25 12:00:00,2024-12-25 00:45:12.351183+00,Unknown,7b94mdcb9fnfabtt6aa9r2b3hr,2
45,Christmas at Marci's,2024-12-25 12:00:00,2024-12-25 00:47:56.321308+00,Unknown,0a001d1qbs87dd9724hq07u823,8
46,Work on IoT,2024-12-25 20:00:00,2024-12-25 00:47:56.358382+00,Unknown,0aoh00qg09td3nc9d5hsc486ed,4
47,More work,2024-12-25 22:00:00,2024-12-25 21:27:06.621239+00,Unknown,2v9c8e9ekqpd8ag4ac1dbm1meq,2
48,More more work,2024-12-25 22:45:00,2024-12-25 22:06:48.744181+00,Unknown,5kaoopg9vpklhgatip14q5g2ul,1.25
49,work 222,2024-12-25 23:55:00,2024-12-25 23:50:56.11432+00,Unknown,26uagob3p5fog1fdscciejof5n,24.0666666666667
55,Work333,2024-12-26 04:00:00,2024-12-26 02:21:20.525887+00,Unknown,1i0l2bg040rr6fa4v27q66tlfh,2
77,Final Work,2024-12-27 04:00:00,2024-12-27 03:01:23.190815+00,Unknown,6k2g3g53e4flqd2cmcroubh6pu,5
83,ERO Recurring Meeting,2024-12-02 13:00:00,2024-11-27 04:05:38.791958+00,Microsoft Teams Meeting,_60q30c1g60o30e1i60o4ac1g60rj8gpl88rj2c1h84s34h9g60s30c1g60o30c1g8934ada26t344chj690k8ghg64o30c1g60o30c1g60o30c1g60o32c1g60o30c1g88o30ga48h2kcghp6cs3aghk8cs4ccho6l33gga68gq3ih1k8930_20241202T130000Z,2
84,Workshop,2024-12-03 20:00:00,2024-11-27 04:05:38.896615+00,Unknown,_60q30c1g60o30e1i60o4ac1g60rj8gpl88rj2c1h84s34h9g60s30c1g60o30c1g652j8dhg84qj2e9o68qk8ghg64o30c1g60o30c1g60o30c1g60o32c1g60o30c1g6gsjidq164q3edpn6kr4ac1k6gs3ih9n64o3ac1h6l1k2d9h6h0g,1
85,DESE71016 - Design Psychology,2024-12-04 09:00:00,2024-11-27 04:05:38.931944+00,DBDE 102 - Dyson Building Level 1 - Library,_60q30c1g60o30e1i60o4ac1g60rj8gpl88rj2c1h84s34h9g60s30c1g60o30c1g6l342dhl88sj8hhg68o48ghg64o30c1g60o30c1g60o30c1g60o32c1g60o30c1g6d230h9l6oqjed9h84o3eghk8d0jee256cq3ec9l68o30h9n60q0,3
86,DESE70003 - Enterprise Roll Out,2024-12-05 09:00:00,2024-11-27 04:05:38.965772+00,DBDE G01B - Lecture Theatre; DBDE G02 - Dyson Building Level 0 - Boardroom,_60q30c1g60o30e1i60o4ac1g60rj8gpl88rj2c1h84s34h9g60s30c1g60o30c1g6koj0dhg8kq30c9h64o48ghg64o30c1g60o30c1g60o30c1g60o32c1g60o30c1g68okcgq38534aghj8goj6d1k6l0jgd1p74pk8e9j64qjaca58os0,3
87,DESE71003 - Sensing and the Internet of Things,2024-12-06 14:00:00,2024-11-27 04:05:39.000148+00,DBDE 102 - Dyson Building Level 1 - Library,_60q30c1g60o30e1i60o4ac1g60rj8gpl88rj2c1h84s34h9g60s30c1g60o30c1g6t23ac1n74q30c9h64o48ghg64o30c1g60o30c1g60o30c1g60o32c1g60o30c1g6l230ga574qj2d9h68qj2h9k68sj6hhn692kcdph890jggph8oqg,3
88,ERO Recurring Meeting,2024-12-09 13:00:00,2024-11-29 16:09:32.028082+00,Microsoft Teams Meeting,_60q30c1g60o30e1i60o4ac1g60rj8gpl88rj2c1h84s34h9g60s30c1g60o30c1g8934ada26t344chj690k8ghg64o30c1g60o30c1g60o30c1g60o32c1g60o30c1g88o30ga48h2kcghp6cs3aghk8cs4ccho6l33gga68gq3ih1k8930_20241209T130000Z,2
89,ERO Innovation Pitch,2024-12-10 00:00:00,2024-12-04 12:05:39.065704+00,Unknown,_60q30c1g60o30e1i60o4ac1g60rj8gpl88rj2c1h84s34h9g60s30c1g60o30c1g74qj6h9j88sj6hhm690k8ghg64o30c1g60o30c1g60o30c1g60o32c1g60o30c1g8d33gc1p892jgca66d13echk70s42d9o6t342d9m8csj4c1n692g,24
90,Hamilton?,2024-12-10 00:00:00,2024-12-04 12:05:39.101579+00,Unknown,_60q30c1g60o30e1i60o4ac1g60rj8gpl88rj2c1h84s34h9g60s30c1g60o30c1g8ork2ea589238di16cpk8ghg64o30c1g60o30c1g60o30c1g60o32c1g60o30c1g6l142h9l8cp3ah2664oj2d9k8ksk8gpg8l230d236d242dhg70o0,24
91,DESE70003 - Enterprise Rollout Pitch Event,2024-12-10 17:00:00,2024-11-27 04:05:39.139138+00,DBDE 102 - Dyson Building Level 1 - Library; DBDE 201 - Dyson Building Level 2 - Studio 2; DBDE 301 - Studio 3,_60q30c1g60o30e1i60o4ac1g60rj8gpl88rj2c1h84s34h9g60s30c1g60o30c1g6d2kaghn8kojeg9g64q48ghg64o30c1g60o30c1g60o30c1g60o32c1g60o30c1g69238c9h8ook2dhj6cp4cd1k8p0k2e9p8d2k6c1l6p336ha564o0,3
92,DESE71016 - Design Psychology,2024-12-11 09:00:00,2024-11-27 04:05:39.175692+00,DBDE 102 - Dyson Building Level 1 - Library,_60q30c1g60o30e1i60o4ac1g60rj8gpl88rj2c1h84s34h9g60s30c1g60o30c1g6cr38chp6ssj8hhg68o48ghg64o30c1g60o30c1g60o30c1g60o32c1g60o30c1g8co3eda16oskcda388o30ghk75138dhp6h33ihi38l238e9i84q0,3
95,Master's Meeting,2024-12-12 11:00:00,2024-12-10 13:45:12.272584+00,Unknown,28krtl5ff05jjg5mnvrh1c3umv,0.75
96,Bouldering,2024-12-15 08:00:00,2024-12-13 15:23:34.303624+00,Unknown,1i2g5n686i3e47mjaj6j3lnnu0,7
97,Hamilton Musical,2024-12-16 19:30:00,2024-12-11 06:08:21.340105+00,Unknown,1525ggbd35dblkic1m5hdkepms,2.5
99,IoT Work Test,2024-12-27 13:45:00,2024-12-27 13:16:11.299677+00,Unknown,6rf6ne3k5c2gpls2vrrp45ht8p,2.25
100,Movie Time,2024-12-27 18:00:00,2024-12-27 13:16:11.617201+00,Unknown,7nqt0b1cm9f1ph4grc7kuq60kh,2
101,Dinner with Friends,2024-12-27 20:00:00,2024-12-27 13:16:11.926463+00,Unknown,79m62qjbih83h0ecgt00574ulj,2
102,IoT Work Test,2024-12-27 16:00:00,2024-12-27 13:32:17.489378+00,Unknown,1anloeohihimb90pcrqru2jnpn,1.25